name,k_color,m,m_r,m_c,A,Sc,St,Jc,Jt,m_dS,s_dS,cv_dS,m_dL,s_dL,cv_dL
Amphichaetodon_Amphichaetodon_howensis_-1464681654,3,0.079174253,0.102988506,0.05536,1.860341506,1.600699207,2.027151802,0.533566402,0.675717267,0.077155097,0.032085186,0.415853097,1.195056065,0.360221078,0.301426091
Amphichaetodon_Amphichaetodon_melbae_-1115161976,3,0.08776,0.115666667,0.059853333,1.932501671,1.928127684,2.263340393,0.642709228,0.754446798,0.123796683,0.075937377,0.613403969,1.361260159,0.496651236,0.36484667
Chaetodon_Chaetodon_adiergastos_1979529705,3,0.09581844,0.096170213,0.095466667,1.007369547,2.62559081,1.935920941,0.875196937,0.64530698,0.234066679,0.159946703,0.683338197,1.206224305,0.523565929,0.43405354
Chaetodon_Chaetodon_andamanensis_-322272266,3,0.099559759,0.087721519,0.111398,0.787460448,2.518266816,2.103919978,0.839422272,0.701306659,0.106246124,0.11079113,1.042778086,0.767722494,0.207974362,0.270897835
Chaetodon_Chaetodon_argentatus_1074668308,3,0.106173391,0.116436782,0.09591,1.214021287,1.92549404,2.437007956,0.641831347,0.812335985,0.26556182,0.219124975,0.825137344,1.411601056,0.5144154,0.364419818
Chaetodon_Chaetodon_aureofasciatus_1459626629,3,0.072199558,0.077821782,0.066577333,1.168893049,2.509109018,2.227570627,0.836369673,0.742523542,0.092606764,0.020227878,0.21842765,1.238027492,0.442164827,0.357152672
Chaetodon_Chaetodon_auriga_843681634,3,0.087152778,0.086944444,0.087361111,0.995230525,2.595613353,2.171720375,0.865204451,0.723906792,0.321704446,0.022880943,0.071124112,1.174575822,0.568500098,0.484004597
Chaetodon_Chaetodon_auripes_1839596140,3,0.15006025,0.144375,0.1557455,0.926993075,2.225502985,2.51522767,0.741834328,0.838409223,0.116375579,0.064026472,0.550171031,1.047519254,0.412026671,0.393335654
Chaetodon_Chaetodon_austriacus_-1737564550,3,0.109952146,0.095063291,0.124841,0.761474925,2.408993245,2.440952885,0.802997748,0.813650962,0.262230337,0.09731822,0.371117319,1.260174702,0.47596429,0.377697068
Chaetodon_Chaetodon_baronessa_918345433,3,0.145102846,0.170210526,0.119995167,1.418478186,2.173117813,2.38938946,0.724372604,0.796463153,0.023464308,0.01049813,0.447408455,1.065709637,0.406671552,0.381596955
Chaetodon_Chaetodon_bennetti_711591108,3,0.080074974,0.083103448,0.0770465,1.078614191,2.450450492,2.122453272,0.816816831,0.707484424,0.233864687,0.138269626,0.591237726,1.041783903,0.552085774,0.5299427
Chaetodon_Chaetodon_blackburnii_300609141,2,0.045964332,0.046486486,0.045442177,1.022981065,1.55441347,1,0.777206735,1,0.119952793,NA,NA,1.990297365,NA,NA
Chaetodon_Chaetodon_burgessi_001,2,0.078224745,0.085806452,0.070643038,1.21464838,1.95259938,1,0.97629969,1,0.044453376,NA,NA,2.083874345,NA,NA
Chaetodon_Chaetodon_capistratus_002,3,0.160954739,0.152658228,0.16925125,0.901962188,2.592597608,1.742503959,0.864199203,0.580834653,0.049466403,0.039864285,0.805886072,1.085162798,0.6341136,0.58434882
Chaetodon_Chaetodon_citrinellus_-1736280642,3,0.0898645,0.087875,0.091854,0.956681255,2.558392102,2.006811296,0.852797367,0.668937099,0.067640341,0.050337961,0.744200275,1.02265096,0.632793535,0.618777628
Chaetodon_Chaetodon_collare_1403678122,3,0.147089626,0.154827586,0.139351667,1.11105658,1.693065197,1.796311575,0.564355066,0.598770525,0.065693039,0.125781825,1.914690302,0.981526651,0.727124921,0.740810165
Chaetodon_Chaetodon_daedalma_1811677923,3,0.272300552,0.288192771,0.256408333,1.123960237,1.760806107,2.72535978,0.586935369,0.90845326,0.129344225,0.051312779,0.396714885,1.215299649,0.659264589,0.542470813
Chaetodon_Chaetodon_declivis_-274435096,3,0.083533061,0.089545455,0.077520667,1.155117189,2.300095586,2.384162515,0.766698529,0.794720838,0.196025938,0.102351703,0.522133471,1.386654859,0.506099091,0.364978414
Chaetodon_Chaetodon_decussatus_527122207,3,0.093071241,0.100120482,0.086022,1.16389391,2.070940831,2.181241763,0.69031361,0.727080588,0.067823493,0.014223834,0.209718396,1.170212043,0.314938244,0.269129211
Chaetodon_Chaetodon_dialeucos_1297085044,3,0.146001585,0.162073171,0.12993,1.247388369,2.185045541,2.410314426,0.728348514,0.803438142,0.063262008,0.030482279,0.481841785,0.994595415,0.359660711,0.36161509
Chaetodon_Chaetodon_dolosus_-1008609691,3,0.128226513,0.133974359,0.122478667,1.093858732,2.45021619,2.138638451,0.81673873,0.712879484,0.085205683,0.051558479,0.605106107,1.193172396,0.563098053,0.471933524
Chaetodon_Chaetodon_ephippium_-1179871461,3,0.090048501,0.088767123,0.091329879,0.971939569,2.360555154,2.643693714,0.786851718,0.881231238,0.099950474,0.031688377,0.317040788,1.492049308,0.754381353,0.50560082
Chaetodon_Chaetodon_falcula_1821335233,3,0.081767617,0.104567901,0.058967333,1.773319147,2.338281681,2.349742693,0.779427227,0.783247564,0.183757289,0.091254359,0.496602664,1.325678987,0.669008294,0.504653314
Chaetodon_Chaetodon_fasciatus_-1886056978,3,0.171549297,0.152682927,0.190415667,0.801840151,2.26716985,2.427141761,0.755723283,0.809047254,0.088564227,0.043381577,0.48983183,0.932436485,0.444293812,0.476486945
Chaetodon_Chaetodon_flavirostris_1864146380,2,0.062664056,0.063111111,0.062217,1.014370849,1.44409409,1,0.722047045,1,0.21847962,NA,NA,1.455266765,NA,NA
Chaetodon_Chaetodon_flavocoronatus_-1261632291,3,0.075793636,0.078977273,0.07261,1.087691402,1.909264286,2.079758303,0.636421429,0.693252768,0.128190361,0.055453439,0.432586651,1.341745312,0.387109701,0.288512058
Chaetodon_Chaetodon_fremblii_5130835,3,0.113667308,0.106883117,0.1204515,0.887353971,2.431108279,1.835106729,0.810369426,0.611702243,0.150903292,0.062200252,0.412186185,1.091445619,0.673094384,0.616699882
Chaetodon_Chaetodon_gardineri_-1706450280,3,0.09102005,0.090136986,0.091903114,0.98078272,2.274301697,2.039847241,0.758100566,0.67994908,0.089659433,0.081364422,0.90748312,1.091829539,0.183293206,0.167877127
Chaetodon_Chaetodon_guentheri_-184146759,3,0.082492397,0.084810127,0.080174667,1.057817015,2.427078181,2.260765717,0.80902606,0.753588572,0.131577176,0.069601935,0.528981824,1.24436184,0.588195959,0.472688844
Chaetodon_Chaetodon_guttatissimus_-1623433841,3,0.155602833,0.154625,0.156580667,0.987510165,2.539299025,2.247766649,0.846433008,0.74925555,0.085100641,0.051576425,0.606063885,1.318636735,0.49149601,0.372730409
Chaetodon_Chaetodon_hoefleri_003,3,0.1376,0.157866667,0.117333333,1.345454545,2.739196633,2.565667564,0.913065544,0.855222521,0.196018456,0.156581582,0.798810406,1.201929643,0.484271328,0.402911543
Chaetodon_Chaetodon_humeralis_018,3,0.155083648,0.161176471,0.148990826,1.081787888,2.923663426,2.528066265,0.974554475,0.842688755,0.068966343,0.043038889,0.624056419,1.189246836,0.467607833,0.393196618
Chaetodon_Chaetodon_interruptus_004,3,0.098276131,0.096875,0.099677262,0.971886651,2.983373954,2.884295861,0.994457985,0.961431954,0.288882278,0.076867518,0.266085959,1.294450098,0.577542685,0.446168366
Chaetodon_Chaetodon_kleinii_-1577854379,3,0.116090364,0.122658228,0.1095225,1.11993634,2.555585102,1.812980429,0.851861701,0.60432681,0.057614731,0.037990248,0.659384287,1.098717572,0.647572205,0.58938914
Chaetodon_Chaetodon_larvatus_1783626891,3,0.079435468,0.094148936,0.064722,1.454666669,2.407031802,2.324628965,0.802343934,0.774876322,0.033209743,0.015507249,0.466948791,0.910817137,0.385752299,0.423523321
Chaetodon_Chaetodon_leucopleura_951338608,3,0.088652851,0.094597701,0.082708,1.143755152,2.298446664,2.10933175,0.766148888,0.703110583,0.182186193,0.064529526,0.354195477,1.254549142,0.318406768,0.25380175
Chaetodon_Chaetodon_lineolatus_1526268337,3,0.100533333,0.117733333,0.083333333,1.4128,2.571576929,2.152866242,0.85719231,0.717622081,0.167001752,0.050145328,0.300268273,1.3005903,0.644344836,0.495424913
Chaetodon_Chaetodon_litus_1983788749,3,0.169841429,0.169642857,0.17004,0.997664415,2.301545819,2.214679853,0.76718194,0.738226618,0.051844435,0.030133092,0.581221335,1.052894336,0.410127894,0.389524267
Chaetodon_Chaetodon_lunula_543936522,3,0.097272831,0.098915663,0.09563,1.034358074,2.44691797,2.310190714,0.815639323,0.770063571,0.094960679,0.045102578,0.474960568,1.21538366,0.587083155,0.483043482
Chaetodon_Chaetodon_lunulatus_1113667583,3,0.139093199,0.123170732,0.155015667,0.794569571,2.427352523,1.955486593,0.809117508,0.651828864,0.103062229,0.025630762,0.248692094,0.919977736,0.538676941,0.585532583
Chaetodon_Chaetodon_madagaskariensis_1210446292,3,0.119785717,0.136829268,0.102742167,1.331773241,2.63712563,1.938795184,0.879041877,0.646265061,0.156096223,0.051728999,0.331391741,1.254347911,0.907835344,0.723750832
Chaetodon_Chaetodon_marleyi_384825925,3,0.081531786,0.089761905,0.073301667,1.224554759,2.380699652,2.146871481,0.793566551,0.715623827,0.160004988,0.053560338,0.334741674,1.196110821,0.321156445,0.268500577
Chaetodon_Chaetodon_melannotus_-1381464288,3,0.131929074,0.120117647,0.1437405,0.835656249,2.334758705,2.106774936,0.778252902,0.702258312,0.204961506,0.080844819,0.394439039,1.145830497,0.255788998,0.223234587
Chaetodon_Chaetodon_melapterus_-738901426,2,0.046886815,0.04962963,0.044144,1.12426671,1.814223512,1,0.907111756,1,0.336514189,NA,NA,1.787911572,NA,NA
Chaetodon_Chaetodon_mertensii_992543933,3,0.142640545,0.161410256,0.123870833,1.303052963,2.368959067,2.226460147,0.789653022,0.742153382,0.151706713,0.036699077,0.241908061,1.193631702,0.483674965,0.405212901
Chaetodon_Chaetodon_mesoleucos_-899095560,3,0.175125,0.22575,0.1245,1.813253012,1.963382788,1.384366847,0.654460929,0.461455616,0.358475792,0.174462038,0.486677322,0.908417675,0.648530565,0.713912314
Chaetodon_Chaetodon_meyeri_-146742631,2,0.116750588,0.116941176,0.11656,1.003270217,1.884326209,1,0.942163104,1,0.225911885,NA,NA,2.05395303,NA,NA
Chaetodon_Chaetodon_miliaris_725437158,3,0.107988278,0.110821918,0.105154639,1.053894709,2.478258156,1.812743104,0.826086052,0.604247701,0.11146896,0.097490264,0.874595617,1.047018419,0.68776946,0.656883822
Chaetodon_Chaetodon_mitratus_-777256060,2,0.057325333,0.060666667,0.053984,1.123789765,1.622949809,1,0.811474904,1,0.191185191,NA,NA,1.861088047,NA,NA
Chaetodon_Chaetodon_multicinctus_-1145166510,3,0.14311037,0.154074074,0.132146667,1.165932354,2.515217044,1.76131942,0.838405681,0.587106473,0.064585573,0.018457849,0.285789032,1.210118397,0.433134956,0.357927751
Chaetodon_Chaetodon_nigropunctatus_1435538384,3,0.146667516,0.151585366,0.141749667,1.069387812,1.934706142,1.488415295,0.644902047,0.496138432,0.178459383,0.01737182,0.097343271,0.85091906,0.683615049,0.803384342
Chaetodon_Chaetodon_nippon_-751379567,3,0.12382388,0.128372093,0.119275667,1.07626389,2.108602374,2.241351436,0.702867458,0.747117145,0.088847146,0.04314968,0.485661975,1.053060903,0.435089585,0.413166592
Chaetodon_Chaetodon_ocellatus_019,3,0.072857143,0.063285714,0.082428571,0.767764298,2.939380026,2.826129474,0.979793342,0.942043158,0.222523645,0.122696445,0.551386103,1.443317172,0.629813916,0.436365567
Chaetodon_Chaetodon_ocellicaudus_958979710,3,0.120256059,0.120549451,0.119962667,1.004891387,2.160687295,2.422278237,0.720229098,0.807426079,0.210486644,0.071345816,0.338956499,1.288363644,0.513605669,0.398649613
Chaetodon_Chaetodon_octofasciatus_1838436391,3,0.106463231,0.141538462,0.071388,1.982664615,2.089111438,2.003532284,0.696370479,0.667844095,0.092757444,0.114583035,1.235297455,1.198556124,0.406372407,0.339051629
Chaetodon_Chaetodon_ornatissimus_164962524,3,0.14682655,0.139069767,0.154583333,0.8996427,2.646294729,2.083902145,0.882098243,0.694634048,0.121103223,0.044935634,0.371052334,1.140909783,0.623498909,0.546492737
Chaetodon_Chaetodon_oxycephalus_005,3,0.072838359,0.078360656,0.067316062,1.164070702,2.023879494,2.175012803,0.674626498,0.725004268,0.221027718,0.100148849,0.453105384,1.374722125,0.402754764,0.292971763
Chaetodon_Chaetodon_paucifasciatus_-1576082838,3,0.139784321,0.158641975,0.120926667,1.311885787,2.681097052,1.756721369,0.893699017,0.58557379,0.136641324,0.030538444,0.223493472,1.242996892,0.545417951,0.438792691
Chaetodon_Chaetodon_pelewensis_-460781405,3,0.111235154,0.112560976,0.109909333,1.024125724,2.655470407,2.101661315,0.885156802,0.700553772,0.123437497,0.068226515,0.552721149,1.064203115,0.404608784,0.380198834
Chaetodon_Chaetodon_plebeius_-113106721,3,0.149027603,0.135128205,0.162927,0.829378833,2.53320206,2.33230544,0.844400687,0.777435147,0.147894476,0.182508317,1.234044183,0.974059004,0.496317284,0.509535133
Chaetodon_Chaetodon_punctatofasciatus_1458053428,3,0.113121006,0.121219512,0.1050225,1.154224211,2.364428142,2.246062264,0.788142714,0.748687421,0.144755185,0.048512937,0.335137817,1.277244818,0.432445996,0.338577217
Chaetodon_Chaetodon_quadrimaculatus_006,2,0.069064792,0.068888889,0.069240695,0.994919088,1.99844032,1,0.99922016,1,0.414960218,NA,NA,2.129302791,NA,NA
Chaetodon_Chaetodon_rafflesii_497192485,3,0.136029254,0.144736842,0.127321667,1.136780926,2.740463581,1.785611922,0.91348786,0.595203974,0.103132353,0.054130359,0.524863028,0.803406624,0.336414229,0.418734697
Chaetodon_Chaetodon_rainfordi_-805104421,3,0.075145102,0.085510204,0.06478,1.320009325,2.750602546,2.04968025,0.916867515,0.68322675,0.079116795,0.067479424,0.852908961,1.174321413,0.251337505,0.214027865
Chaetodon_Chaetodon_reticulatus_-2063111040,3,0.197823417,0.193333333,0.2023135,0.955612618,2.183830088,2.853494286,0.727943363,0.951164762,0.205406772,0.123687737,0.602159976,1.356703872,0.581934011,0.428932225
Chaetodon_Chaetodon_robustus_007,3,0.102771998,0.11984375,0.085700246,1.398406142,2.461076714,2.972878124,0.820358905,0.990959375,0.449948198,0.305698346,0.679407868,1.222183927,0.566045649,0.46314277
Chaetodon_Chaetodon_sanctaehelenae_008,2,0.0466504,0.040923077,0.052377724,0.781306896,1.891338083,1,0.945669042,1,0.257532387,NA,NA,2.156411363,NA,NA
Chaetodon_Chaetodon_sedentarius_009,3,0.106019794,0.11125,0.100789588,1.10378465,2.26300264,2.540444281,0.754334213,0.84681476,0.107876634,0.027188021,0.252028819,1.237209989,0.546362236,0.441608329
Chaetodon_Chaetodon_selene_-1379331455,3,0.080244795,0.083076923,0.077412667,1.073169633,2.483944183,2.060271495,0.827981394,0.686757165,0.221964114,0.140708767,0.633925746,1.240184041,0.346963255,0.279767553
Chaetodon_Chaetodon_semeion_-1205919593,3,0.094740405,0.09057971,0.098901099,0.915861514,2.411184981,2.461375341,0.803728327,0.820458447,0.169755362,0.111412552,0.656312418,1.072181663,0.491652016,0.458552905
Chaetodon_Chaetodon_semilarvatus_-947886964,3,0.128923289,0.156144578,0.101702,1.535314726,2.77770632,1.75420049,0.925902107,0.584733497,0.06794988,0.156157219,2.298123523,0.732157718,0.669079691,0.913846394
Chaetodon_Chaetodon_smithi_-756583267,2,0.030362416,0.032,0.028724832,1.114018692,1.614641807,1,0.807320904,1,0.323627382,NA,NA,1.747146763,NA,NA
Chaetodon_Chaetodon_speculum_65885528,3,0.058751455,0.06247191,0.055031,1.135213064,2.588300047,2.23251552,0.862766682,0.74417184,0.20435901,0.078816529,0.385676802,1.280289886,0.544577394,0.425354758
Chaetodon_Chaetodon_striatus_010,2,0.100671849,0.097222222,0.104121475,0.933738426,1.954706317,1,0.977353159,1,0.090748655,NA,NA,1.88785025,NA,NA
Chaetodon_Chaetodon_tinkeri_1959828294,2,0.035063868,0.036263736,0.033864,1.070863934,1.721521408,1,0.860760704,1,0.112629669,NA,NA,2.259145676,NA,NA
Chaetodon_Chaetodon_trichrous_-192591132,3,0.116939714,0.121071429,0.112808,1.07325215,2.213677755,2.395875167,0.737892585,0.798625056,0.058347674,0.024277433,0.416082277,0.80944032,0.372096476,0.459695998
Chaetodon_Chaetodon_tricinctus_28770837,3,0.080905079,0.101263158,0.060547,1.672471929,1.933933572,2.008944748,0.644644524,0.669648249,0.120182705,0.039389948,0.327750553,1.297069797,0.480987555,0.37082627
Chaetodon_Chaetodon_trifascialis_-500274613,3,0.153218665,0.167536232,0.138901099,1.206154834,2.508541211,2.168706619,0.836180404,0.722902206,0.147362621,0.019087519,0.129527549,1.231590479,0.340387762,0.276380637
Chaetodon_Chaetodon_trifasciatus_-781709008,3,0.10225,0.10425,0.10025,1.039900249,2.683906066,2.162133168,0.894635355,0.720711056,0.120307373,0.064428556,0.535532895,1.180447181,0.512150746,0.433861636
Chaetodon_Chaetodon_ulietensis_-1430510223,3,0.089998798,0.107738095,0.0722595,1.490988662,2.118984588,2.132324149,0.706328196,0.710774716,0.249429756,0.020648412,0.082782472,1.158306923,0.340921801,0.29432769
Chaetodon_Chaetodon_unimaculatus_-538563321,3,0.068254313,0.079268293,0.057240333,1.384832828,2.462896126,2.152712289,0.820965375,0.717570763,0.120944844,0.028548337,0.236044264,1.301262069,0.460233076,0.353682081
Chaetodon_Chaetodon_vagabundus_397124810,3,0.11120725,0.118375,0.1040395,1.137789013,2.532412706,2.197088915,0.844137569,0.732362972,0.130062589,0.022064312,0.169643803,1.150398879,0.33215467,0.288730001
Chaetodon_Chaetodon_wiebeli_532247427,4,0.102558095,0.10047619,0.10464,0.960208242,2.529852148,2.245867731,0.632463037,0.374311288,0.111760118,0.192314328,1.720777791,0.751149254,0.632832509,0.842485706
Chaetodon_Chaetodon_xanthocephalus_-1021247480,3,0.087529344,0.088311688,0.086747,1.018037377,2.610178914,2.146753742,0.870059638,0.715584581,0.107761742,0.023182854,0.215130651,1.224622338,0.33609408,0.274447126
Chaetodon_Chaetodon_xanthurus_-858508951,3,0.158491211,0.173855422,0.143127,1.214693396,2.622558449,2.169568366,0.87418615,0.723189455,0.106875775,0.024568827,0.229882094,1.261039476,0.489191506,0.387927194
Chaetodon_Chaetodon_zanzibarensis_-1292827274,3,0.085279464,0.087738095,0.082820833,1.059372282,2.586565636,2.064347784,0.862188545,0.688115928,0.122972446,0.139974974,1.138262905,0.682831596,0.342405767,0.501449799
Chelmon_Chelmon_marginalis_-1899628097,3,0.062845714,0.068571429,0.05712,1.200480192,2.109064332,2.026164312,0.703021444,0.675388104,0.100630404,0.054350394,0.540099131,1.136754585,0.338674577,0.297931129
Chelmon_Chelmon_muelleri_425540539,2,0.078297556,0.085111111,0.071484,1.190631625,1.563411749,1,0.781705874,1,0.137148127,NA,NA,1.746644639,NA,NA
Chelmon_Chelmon_rostratus_-1060273696,3,0.086718169,0.099354839,0.0740815,1.341155872,2.312210369,2.101115518,0.77073679,0.700371839,0.15145294,0.054495808,0.359820071,1.294903529,0.539406121,0.416560855
Chelmonops_Chelmonops_curiosus_011,3,0.159187093,0.201641791,0.116732394,1.727385034,2.982394505,2.111985434,0.994131502,0.703995145,0.137961262,0.065675819,0.476045361,1.238228183,0.836131585,0.675264541
Chelmonops_Chelmonops_truncatus_-473926281,3,0.109595263,0.120641026,0.0985495,1.224166796,1.678304919,2.408984615,0.559434973,0.802994872,0.096454963,0.041211216,0.427258635,1.115877873,0.426362112,0.382086716
Coradion_Coradion_altivelis_1025347564,3,0.070998404,0.084622642,0.057374167,1.474925849,2.252009482,2.071256229,0.750669827,0.690418743,0.09990858,0.011742121,0.117528657,1.202404527,0.285519329,0.237456964
Coradion_Coradion_chrysozonus_-1821725095,3,0.08118631,0.090813953,0.071558667,1.269083924,2.495724772,2.278828223,0.831908257,0.759609408,0.147172084,0.051097742,0.347197246,1.284748676,0.457322132,0.35596233
Coradion_Coradion_melanopus_-1537131019,3,0.095557738,0.112190476,0.078925,1.421482118,2.165309615,2.51879771,0.721769872,0.839599237,0.09919444,0.057513805,0.579808752,1.320352158,0.505422351,0.382793597
Forcipiger_Forcipiger_flavissimus_-1548318421,3,0.063461571,0.071025641,0.0558975,1.270640745,1.949849512,2.955450137,0.649949837,0.985150046,0.332001646,0.168191003,0.506596894,1.211516933,0.522099931,0.430947283
Forcipiger_Forcipiger_longirostris_2122975038,3,0.06046841,0.065512821,0.055424,1.182029816,1.879324973,2.454487363,0.626441658,0.818162454,0.187993438,0.068229137,0.36293361,1.408739458,0.932298421,0.6617962
Hemitaurichthys_Hemitaurichthys_multispinosus_1514469863,3,0.09950239,0.096440678,0.102564103,0.94029661,2.169559995,2.280722455,0.723186665,0.760240818,0.047971379,0.054933477,1.145130234,0.926461455,0.30299556,0.327046051
Hemitaurichthys_Hemitaurichthys_polylepis_224753564,3,0.061474932,0.06313253,0.059817333,1.055422009,2.522243633,2.297506103,0.840747878,0.765835368,0.219609534,0.183808474,0.836978568,1.402250236,0.575450927,0.410376774
Hemitaurichthys_Hemitaurichthys_thompsoni_012,3,0.122300179,0.106956522,0.137643836,0.777052755,2.994547546,2.637106359,0.998182515,0.879035453,0.129689863,0.058502907,0.451098533,1.422329105,0.570190358,0.400884968
Hemitaurichthys_Hemitaurichthys_zoster_1598828141,2,0.034567818,0.038863636,0.030272,1.283814626,1.517812343,1,0.758906172,1,0.089008624,NA,NA,1.903816911,NA,NA
Heniochus_Heniochus_acuminatus_2027043176,3,0.059651075,0.066034483,0.053267667,1.239672899,1.59756896,2.489744568,0.532522987,0.829914856,0.108568512,0.039134477,0.360458817,1.520549067,0.610489667,0.401492908
Heniochus_Heniochus_chrysostomus_1854375753,2,0.052860525,0.055106383,0.050614667,1.088743374,1.614941683,1,0.807470842,1,0.536006143,NA,NA,2.191242684,NA,NA
Heniochus_Heniochus_diphreutes_1453219286,3,0.066530187,0.070970874,0.0620895,1.143041477,1.544062964,2.379956076,0.514687655,0.793318692,0.111486071,0.080328696,0.720526748,1.468151444,0.550421807,0.374908058
Heniochus_Heniochus_intermedius_-20578450,3,0.091575667,0.090416667,0.092734667,0.975003954,2.432275408,2.745114765,0.810758469,0.915038255,0.034438172,0.011101117,0.322349192,1.302309143,0.553777673,0.425227509
Heniochus_Heniochus_monoceros_-980348940,3,0.07650425,0.0803125,0.072696,1.104771927,2.079195604,2.309868008,0.693065201,0.769956003,0.16181251,0.057226896,0.353661754,1.329708839,0.51353103,0.386198102
Heniochus_Heniochus_pleurotaenia_-1006778558,3,0.083930583,0.0946875,0.073173667,1.294010596,1.696865571,2.136736458,0.565621857,0.712245486,0.097377013,0.009284241,0.095343256,1.099162725,0.511972201,0.465783809
Heniochus_Heniochus_singularius_2065781403,2,0.064174421,0.066736842,0.061612,1.083179285,1.688292967,1,0.844146483,1,0.114845672,NA,NA,1.853910092,NA,NA
Heniochus_Heniochus_varius_2014348865,3,0.099263421,0.100736842,0.09779,1.030134391,2.075688647,2.391911543,0.691896216,0.797303848,0.093434447,0.096331419,1.031005389,1.086747436,0.607807723,0.559290689
Johnrandallia_Johnrandallia_nigrirostris_013,2,0.067584541,0.064057971,0.071111111,0.900815217,1.978457626,1,0.989228813,1,0.328659999,NA,NA,1.81893265,NA,NA
Parachaetodon_Parachaetodon_ocellatus_-506807721,3,0.07385,0.0903,0.0574,1.573170732,2.436702866,2.094347593,0.812234289,0.698115864,0.097771759,0.01078006,0.1102574,1.259662923,0.358341798,0.284474355
Prognathodes_Prognathodes_aculeatus_014,3,0.138959298,0.159104478,0.118814118,1.339104147,2.770655176,2.209803983,0.923551725,0.736601328,0.216244831,0.077244292,0.357207577,1.018654016,0.469383331,0.460787788
Prognathodes_Prognathodes_aya_015,3,0.107216474,0.11238806,0.102044888,1.101359041,2.872011179,2.692434419,0.95733706,0.89747814,0.044696263,0.016364799,0.366133491,1.343197256,0.559207443,0.41632563
Prognathodes_Prognathodes_falcifer_016,2,0.077421479,0.069411765,0.085431193,0.812487366,1.991886165,1,0.995943083,1,0.21592824,NA,NA,2.016431125,NA,NA
Prognathodes_Prognathodes_marcellae_0171,3,0.115678702,0.12030303,0.111054374,1.083280437,2.558909251,2.340250826,0.85296975,0.780083609,0.272882153,0.083373458,0.305529172,1.260324437,0.44518728,0.353232284
Roa_Roa_excelsa_853070272,2,0.05459665,0.066336634,0.042856667,1.547871984,1.438010255,1,0.719005128,1,0.180647357,NA,NA,1.820336469,NA,NA
Roa_Roa_modestus_316109402,2,0.070192286,0.081428571,0.058956,1.381175307,1.51882412,1,0.75941206,1,0.162728197,NA,NA,1.80706931,NA,NA